ADM0_EN,ADM0_PCODE,ADM1_FR,ADM2_FR,ADM1_PCODE,ADM2_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Gambia,GM,Banjul,Banjul,GM01,GM0101,16745,17532,34277,6102,5166,4389,3704,3095,2608,2211,1793,1296,1115,851,658,489,313,263,141,83
Gambia,GM,Basse,Fulladu East,GM02,GM0201,76883,71995,148878,26502,22443,19060,16091,13447,11326,9602,7789,5631,4841,3697,2854,2126,1360,1137,611,361
Gambia,GM,Basse,Kantora,GM02,GM0202,24211,19792,44003,7834,6633,5633,4756,3974,3348,2838,2302,1664,1431,1093,844,628,401,336,181,107
Gambia,GM,Basse,Sandu,GM02,GM0203,13979,13163,27142,4831,4092,3475,2934,2452,2066,1750,1420,1027,883,674,520,387,248,207,111,65
Gambia,GM,Basse,Wuli,GM02,GM0204,27402,24730,52132,9280,7858,6673,5634,4709,3966,3362,2728,1972,1696,1295,999,745,476,398,215,126
Gambia,GM,Brikama,Foni Bintang Karenai,GM03,GM0301,10395,9886,20281,3610,3057,2597,2192,1832,1543,1309,1060,767,660,504,388,289,185,155,84,49
Gambia,GM,Brikama,Foni Bondali,GM03,GM0302,8929,8273,17202,3063,2593,2203,1859,1554,1309,1109,900,651,559,428,329,245,157,132,70,41
Gambia,GM,Brikama,Foni Brefet,GM03,GM0303,4333,4697,9030,1608,1361,1156,976,816,687,582,472,341,293,225,173,129,83,69,37,22
Gambia,GM,Brikama,Foni Jarrol,GM03,GM0304,4440,3716,8156,1452,1229,1044,881,737,621,526,426,309,266,202,156,116,75,62,34,20
Gambia,GM,Brikama,Foni Kansala,GM03,GM0305,8978,7756,16734,2978,2523,2142,1808,1512,1273,1080,876,633,543,415,321,239,153,129,69,40
Gambia,GM,Brikama,Kombo Central,GM03,GM0306,84027,81858,165885,29530,25006,21237,17929,14984,12620,10699,8678,6275,5394,4119,3180,2369,1515,1268,681,401
Gambia,GM,Brikama,Kombo East,GM03,GM0307,25756,24337,50093,8918,7551,6414,5414,4525,3812,3230,2621,1894,1628,1243,960,715,458,383,205,122
Gambia,GM,Brikama,Kombo North/St Marie,GM03,GM0308,208959,193083,402042,71570,60605,51470,43454,36313,30587,25929,21033,15207,13074,9983,7708,5740,3671,3073,1650,975
