X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
-17.4618722394834,14.7395719953525,"4956827011",node,10,,pharmacy,,,,,"50109006",,,,515ebe3d0fff496398d03eccd68a2dbd,,,,,,,"1",,2017/07/07 13:31:22,Pharmacie Maodo Malick,,Jacques Cartier,,,,,,
-17.4061421387491,14.7530756604602,"4485784101",node,13,,clinic,,,,,"71224078",,,,0a59daa1c8be4bcdbc01dd4aef5592b3,,,,,,,"2",,2019/06/13 16:06:45,CLinique Docteur Ngagne Mbaye Pediatre,,mapman44,,,,,clinic,
-17.446792525122,14.7270036668199,"4077886878",node,10,,pharmacy,,,,,"38059112",,,,570e5e92eb10473b9c7423c6bec5b8cf,,,,,,,"1",,2016/03/25 10:03:23,PHARMACIE FRONT DE TERRE,,Ray1998,,,,,,
-17.3386106536227,14.7926482179039,"4747601124",node,13,,pharmacy,,,,,"48590663",,,,2c386b7012c14c9486b9e06a4f02ce61,,Mo-Su 08:00-21:00,,,,,"2",,2017/05/11 12:23:51,Pharmacie Malika,,babacar_ndiaye,,,,,,
-17.4772066798822,14.711742987169,"5184731521",node,10,,clinic,,,,,"80449307",,,,1b978769f881488faf403b7c7116ff6c,,,,,,,"2",,2020/02/03 00:19:30,Rahma,,daganzdaanda,,,,,,
-17.4721590139721,14.7361789171288,"4956870873",node,10,,doctors,,,,,"50109741",,,,95aa54084a6042968b1b6a525bf52704,,,,,,,"1",,2017/07/07 14:04:13,Cabinet médical Dawa,,Jacques Cartier,,,,,,
,,"503815715",way,10,,clinic,,,,,"49895632",,,,048204b41e5743f19ea39e7be0a3703c,,,,,,,"1",,2017/06/28 16:00:34,Dispensaire,,ndongtoure,,,,,,
-17.4610539142766,14.7192341454923,"5211895535",node,10,,doctors,,,,,"68404087",,,,755b3622ba9b4d7291a85a15d1b468a2,,,,,,,"2",,2019/03/22 09:57:09,Poste de Santé liberté 04,,Jean-Marc Liotier,,,,,,
-17.0833855576647,14.6413514290417,"3421564361",node,6,,dentist,,,,,"29777880",,,,cfac46e2e0c34e14a7e4f7128d5637d6,,,,,,,"1",,2015/03/27 13:46:13,,,DIALLOTIMA,,,,,,
-17.4302358356024,14.6688055985153,"4226678990",node,13,,clinic,,,,,"39815692",,,,2611698b5307435ab7151b22ac87da27,,Mo-Sa 08:00-17:00,,,,,"1",,2016/06/05 12:42:20,COLASER,,Arona KANE,,,,,,
-17.4697253283857,14.7053711481956,"4076559156",node,10,,pharmacy,,,,,"38039079",,,,f6598a0f24ee4ac1a1d43b3518573fd8,,,,,,,"1",,2016/03/24 11:26:28,PHARMACIE SEDAMI,,Ray1998,,,,,,
-17.1738963656174,14.6400046248398,"2539925694",node,10,,doctors,,,,,"68404386",,,,20b5668322054853876b533512c263f0,,,,,,,"2",,2019/03/22 10:01:36,Case de Santé de Yene,,Jean-Marc Liotier,,,,,,
-13.8098967242557,16.0604149285734,"3607133538",node,10,,doctors,,,,,"68404087",,,,47a19d65d71e46e3ae6dab4eeb09567c,,,,,,,"2",,2019/03/22 09:57:06,Poste de Santé Mbolo Birane,,Jean-Marc Liotier,,,,,,
